age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
53,blue-collar,married,secondary,no,6258,yes,no,telephone,15,jul,62,5,-1,0,unknown,no
38,self-employed,married,secondary,no,-10,no,no,unknown,2,jun,137,7,-1,0,unknown,no
26,blue-collar,married,primary,no,40,no,yes,cellular,28,jul,49,3,-1,0,unknown,no
50,admin.,married,secondary,no,1906,no,no,unknown,16,may,174,17,-1,0,unknown,no
55,housemaid,divorced,primary,no,77,no,no,cellular,31,jul,463,6,-1,0,unknown,yes
49,services,married,secondary,no,3554,no,no,cellular,4,aug,39,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,1023,yes,no,unknown,21,may,150,3,-1,0,unknown,no
47,management,married,secondary,no,2010,no,no,telephone,4,may,222,6,-1,0,unknown,no
38,management,married,tertiary,no,165,yes,no,cellular,17,apr,526,1,260,2,other,yes
39,entrepreneur,divorced,secondary,no,-271,yes,no,cellular,7,may,406,1,-1,0,unknown,no
36,admin.,single,secondary,no,8785,yes,no,cellular,20,nov,425,2,-1,0,unknown,no
28,technician,single,secondary,no,-16,yes,no,cellular,18,may,251,3,-1,0,unknown,no
40,services,married,secondary,no,1116,yes,no,cellular,12,may,350,5,286,2,failure,no
27,blue-collar,married,primary,no,300,no,yes,cellular,22,jul,209,2,-1,0,unknown,no
29,entrepreneur,single,tertiary,no,54,no,no,cellular,5,feb,251,3,-1,0,unknown,no
41,technician,single,unknown,no,2701,yes,no,cellular,6,feb,278,4,-1,0,unknown,no
38,admin.,married,secondary,no,1283,yes,no,cellular,29,jul,60,6,-1,0,unknown,no
53,blue-collar,married,primary,no,109,no,no,cellular,22,aug,86,4,-1,0,unknown,no
34,admin.,married,secondary,no,-191,yes,no,cellular,17,jul,156,6,-1,0,unknown,no
50,blue-collar,married,primary,no,33,yes,no,unknown,2,jun,134,8,-1,0,unknown,no
41,admin.,single,secondary,no,84,yes,no,unknown,6,jun,238,3,-1,0,unknown,no
30,technician,single,tertiary,no,2784,no,no,cellular,11,aug,161,1,-1,0,unknown,no
26,self-employed,single,tertiary,no,211,no,no,cellular,29,jan,168,3,-1,0,unknown,no
45,services,married,primary,no,60,no,no,unknown,9,jun,349,2,-1,0,unknown,no
31,management,married,tertiary,no,4924,yes,no,unknown,21,may,389,2,-1,0,unknown,no
31,technician,single,tertiary,no,-1,no,no,cellular,21,aug,117,4,-1,0,unknown,no
28,services,single,secondary,no,2954,yes,no,unknown,28,may,149,2,-1,0,unknown,no
36,entrepreneur,single,primary,no,5,no,no,cellular,12,may,396,1,172,3,failure,no
44,management,married,secondary,no,488,no,yes,cellular,30,jul,292,11,-1,0,unknown,no
32,technician,single,secondary,no,271,yes,yes,cellular,11,may,271,2,-1,0,unknown,no
38,services,married,secondary,no,1616,yes,no,telephone,12,may,168,5,288,3,failure,no
65,retired,married,secondary,no,23421,no,no,cellular,2,feb,432,1,-1,0,unknown,no
36,admin.,divorced,secondary,no,1224,yes,no,cellular,12,nov,482,1,374,1,success,yes
36,services,divorced,secondary,no,2390,yes,no,cellular,19,nov,400,1,-1,0,unknown,no
43,management,married,secondary,no,445,no,no,cellular,22,aug,108,18,-1,0,unknown,no
38,management,married,tertiary,no,1722,yes,no,cellular,10,jul,500,1,-1,0,unknown,yes
47,technician,divorced,secondary,no,32,no,yes,cellular,26,aug,137,2,-1,0,unknown,no
52,unemployed,married,secondary,no,5091,no,no,cellular,26,may,309,1,-1,0,unknown,no
39,technician,married,secondary,no,958,yes,no,cellular,9,apr,141,5,142,4,failure,no
42,admin.,married,secondary,no,1455,yes,no,cellular,6,may,364,4,-1,0,unknown,no
30,services,single,secondary,yes,0,no,yes,unknown,2,jul,95,3,-1,0,unknown,no
34,blue-collar,divorced,secondary,no,1614,yes,no,cellular,15,may,228,2,297,1,other,no
28,management,single,secondary,no,311,yes,no,unknown,20,jun,23,13,-1,0,unknown,no
47,admin.,divorced,secondary,no,225,no,no,cellular,28,aug,1126,4,-1,0,unknown,yes
53,services,single,secondary,no,1162,yes,no,cellular,21,nov,322,1,-1,0,unknown,no
53,management,married,tertiary,no,1624,no,no,cellular,5,feb,158,3,-1,0,unknown,yes
36,admin.,single,secondary,no,245,yes,no,cellular,6,may,159,1,-1,0,unknown,no
37,services,divorced,secondary,no,1472,yes,no,cellular,3,feb,126,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,1226,yes,no,cellular,17,apr,86,1,-1,0,unknown,no
26,unknown,divorced,secondary,no,-295,yes,no,cellular,7,may,556,1,-1,0,unknown,no
33,self-employed,married,primary,no,61,yes,no,cellular,13,may,161,1,-1,0,unknown,no
65,housemaid,married,primary,no,2179,yes,no,cellular,4,sep,112,7,-1,0,unknown,no
50,management,single,primary,no,766,no,no,unknown,17,jun,174,2,-1,0,unknown,no
77,retired,married,primary,no,680,no,no,telephone,27,nov,341,4,94,3,failure,no
55,management,married,secondary,no,11743,yes,no,unknown,30,may,75,1,-1,0,unknown,no
38,unemployed,married,primary,no,7005,yes,no,cellular,25,jan,696,1,202,2,success,yes
49,technician,married,secondary,no,51,no,no,cellular,20,aug,513,4,-1,0,unknown,no
48,unemployed,married,primary,no,608,no,no,cellular,30,jul,362,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,296,no,no,cellular,17,apr,177,1,-1,0,unknown,no
51,retired,married,primary,no,34,yes,no,cellular,16,jul,69,2,-1,0,unknown,no
25,blue-collar,single,secondary,no,1163,no,no,cellular,7,dec,262,3,-1,0,unknown,no
66,retired,married,tertiary,no,908,no,no,cellular,28,jan,156,2,-1,0,unknown,no
44,unknown,married,unknown,no,722,yes,no,telephone,22,jul,269,2,-1,0,unknown,no
38,entrepreneur,married,secondary,no,593,yes,yes,cellular,24,jul,1484,24,-1,0,unknown,yes
32,management,single,unknown,no,787,no,no,cellular,28,jan,92,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,299,yes,no,cellular,15,jul,180,4,-1,0,unknown,no
31,admin.,single,tertiary,no,-218,yes,no,unknown,2,jun,227,15,-1,0,unknown,no
37,management,married,tertiary,no,425,yes,no,unknown,20,may,226,1,-1,0,unknown,no
34,technician,married,secondary,no,0,yes,no,cellular,25,jul,141,3,-1,0,unknown,no
34,management,married,secondary,yes,879,yes,no,cellular,17,apr,712,1,344,1,failure,yes
28,management,single,tertiary,no,185,no,no,cellular,30,jan,651,2,-1,0,unknown,no
30,housemaid,single,tertiary,no,19,no,no,cellular,4,aug,139,1,92,5,success,yes
56,management,divorced,tertiary,no,2037,no,no,cellular,5,aug,318,1,91,6,failure,yes
51,technician,married,unknown,no,573,yes,yes,unknown,14,may,231,1,-1,0,unknown,no
32,technician,divorced,tertiary,no,267,no,no,cellular,26,may,128,1,-1,0,unknown,no
44,entrepreneur,married,tertiary,no,121,no,no,cellular,10,aug,412,1,-1,0,unknown,yes
32,management,single,tertiary,no,520,no,no,cellular,3,feb,443,2,-1,0,unknown,yes
25,management,single,tertiary,no,493,yes,no,unknown,4,jun,301,1,-1,0,unknown,no
51,services,divorced,secondary,no,234,no,no,cellular,9,jul,281,3,-1,0,unknown,no
45,blue-collar,married,secondary,no,430,no,yes,cellular,21,aug,140,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,3266,yes,no,cellular,21,nov,94,1,-1,0,unknown,no
30,admin.,single,tertiary,no,8,no,yes,cellular,30,jul,76,2,150,1,failure,no
43,services,married,secondary,no,354,yes,no,telephone,4,feb,49,2,-1,0,unknown,no
28,student,single,tertiary,no,221,yes,no,cellular,15,may,176,1,-1,0,unknown,no
32,management,married,tertiary,no,1388,yes,no,cellular,13,aug,102,1,105,1,success,no
32,services,married,secondary,no,180,yes,no,telephone,15,may,45,2,-1,0,unknown,no
42,management,married,tertiary,no,0,yes,no,cellular,8,may,88,1,360,1,failure,no
28,services,single,secondary,no,-427,yes,yes,unknown,21,may,965,2,-1,0,unknown,no
34,housemaid,married,tertiary,no,897,no,no,cellular,12,aug,197,4,-1,0,unknown,no
31,housemaid,married,tertiary,no,0,no,no,unknown,28,aug,12,15,-1,0,unknown,no
45,housemaid,married,primary,no,403,no,no,cellular,2,apr,144,1,-1,0,unknown,no
26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,3,-1,0,unknown,yes
37,technician,married,primary,no,1653,yes,yes,cellular,11,may,285,2,349,10,failure,no
48,admin.,married,secondary,no,660,no,no,cellular,18,feb,318,1,561,2,success,yes
30,services,single,secondary,no,85,yes,no,cellular,10,jul,81,7,-1,0,unknown,no
33,technician,married,secondary,no,1029,yes,no,cellular,9,feb,345,5,-1,0,unknown,no
43,self-employed,married,secondary,no,56,yes,no,cellular,8,may,612,3,-1,0,unknown,no
69,retired,married,tertiary,no,473,no,no,cellular,21,oct,110,1,106,2,failure,no
36,unemployed,single,secondary,no,1806,yes,no,cellular,11,may,111,6,-1,0,unknown,no
33,technician,single,secondary,no,1074,yes,yes,cellular,14,may,308,2,-1,0,unknown,no
57,blue-collar,married,primary,no,8403,no,no,unknown,20,jun,11,11,-1,0,unknown,no
25,management,married,tertiary,no,51,yes,no,cellular,18,jul,127,4,-1,0,unknown,no
49,unknown,married,secondary,no,0,no,no,cellular,28,aug,173,2,-1,0,unknown,no
44,management,married,tertiary,no,392,yes,no,unknown,9,may,124,2,-1,0,unknown,no
42,management,married,tertiary,no,1161,no,no,cellular,11,aug,101,5,-1,0,unknown,no
54,management,married,tertiary,no,1090,no,no,cellular,21,aug,160,7,-1,0,unknown,no
38,self-employed,married,tertiary,no,846,no,no,cellular,2,jun,253,1,-1,0,unknown,no
26,admin.,married,secondary,no,416,yes,yes,unknown,18,jun,172,2,-1,0,unknown,no
49,admin.,married,secondary,no,2501,yes,no,unknown,30,may,50,2,-1,0,unknown,no
38,admin.,divorced,secondary,no,19,yes,no,cellular,5,feb,1130,3,251,2,success,yes
34,entrepreneur,married,primary,no,0,yes,no,cellular,21,jul,132,3,-1,0,unknown,no
40,technician,divorced,secondary,no,93,no,no,cellular,2,feb,123,2,-1,0,unknown,no
38,blue-collar,married,secondary,no,0,no,no,unknown,6,jun,361,1,-1,0,unknown,no
44,blue-collar,divorced,secondary,no,370,yes,no,cellular,11,may,128,1,369,1,failure,no
46,entrepreneur,divorced,tertiary,no,567,yes,no,cellular,17,nov,554,2,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,638,yes,no,unknown,16,jun,1395,2,-1,0,unknown,yes
36,admin.,married,secondary,no,0,yes,yes,cellular,9,feb,101,2,-1,0,unknown,no
32,technician,married,secondary,no,782,yes,no,unknown,26,may,116,4,-1,0,unknown,no
54,admin.,single,secondary,no,189,no,no,cellular,2,jun,95,5,-1,0,unknown,no
54,services,married,secondary,no,386,yes,no,cellular,2,aug,155,2,-1,0,unknown,no
37,blue-collar,married,unknown,no,0,yes,no,cellular,21,nov,184,1,-1,0,unknown,no
58,technician,married,secondary,no,592,no,no,unknown,17,jun,206,1,-1,0,unknown,no
41,blue-collar,married,primary,no,2585,no,no,telephone,20,nov,159,2,-1,0,unknown,no
44,technician,single,tertiary,no,3432,yes,no,cellular,25,jul,72,30,-1,0,unknown,no
29,admin.,divorced,secondary,no,883,no,yes,cellular,8,may,85,1,-1,0,unknown,no
59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,5,may,73,3,-1,0,unknown,no
32,blue-collar,single,secondary,no,3662,no,no,telephone,28,jan,309,1,-1,0,unknown,no
41,management,married,tertiary,no,371,no,no,cellular,9,feb,107,5,-1,0,unknown,no
58,retired,married,secondary,no,3648,no,no,cellular,31,jul,60,4,-1,0,unknown,no
36,management,married,secondary,no,10,no,yes,unknown,28,may,310,2,-1,0,unknown,no
52,blue-collar,married,primary,no,1884,no,no,unknown,11,jun,68,4,-1,0,unknown,no
41,admin.,divorced,secondary,no,110,yes,yes,cellular,5,feb,76,2,-1,0,unknown,no
35,management,married,tertiary,no,171,no,no,cellular,29,aug,204,2,-1,0,unknown,no
32,admin.,married,secondary,no,-1,no,no,cellular,8,jul,228,2,-1,0,unknown,no
47,self-employed,married,tertiary,no,-80,yes,no,cellular,6,feb,150,3,270,2,failure,no
43,services,married,secondary,no,216,yes,yes,cellular,11,may,129,1,-1,0,unknown,no
39,services,married,secondary,no,1930,yes,no,cellular,15,jul,92,3,-1,0,unknown,no
37,blue-collar,single,secondary,no,180,yes,no,cellular,8,may,114,2,-1,0,unknown,no
41,services,married,secondary,no,890,yes,no,unknown,14,may,829,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,66,no,no,cellular,10,jul,182,1,-1,0,unknown,no
29,self-employed,single,tertiary,no,5406,no,no,unknown,9,may,530,2,-1,0,unknown,no
58,retired,married,secondary,no,19,no,yes,cellular,15,jul,106,3,-1,0,unknown,no
42,technician,married,secondary,no,315,yes,no,unknown,6,may,259,2,-1,0,unknown,no
53,admin.,married,secondary,no,109,no,no,telephone,2,jun,270,1,-1,0,unknown,yes
37,services,married,secondary,no,895,yes,yes,cellular,4,feb,219,2,245,1,failure,no
35,technician,single,secondary,no,1467,yes,yes,cellular,7,may,381,1,-1,0,unknown,no
46,technician,divorced,secondary,no,772,yes,no,unknown,23,may,488,1,-1,0,unknown,no
42,blue-collar,married,secondary,no,171,yes,no,unknown,14,may,55,1,-1,0,unknown,no
45,blue-collar,married,primary,no,900,yes,no,unknown,9,jun,213,1,-1,0,unknown,no
43,blue-collar,married,primary,no,197,yes,no,cellular,17,nov,48,2,-1,0,unknown,no
58,management,divorced,tertiary,no,50,yes,no,unknown,3,jun,109,4,-1,0,unknown,no
35,technician,married,secondary,no,141,yes,no,cellular,19,aug,299,2,-1,0,unknown,no
30,admin.,married,secondary,no,1265,yes,yes,unknown,26,may,414,2,-1,0,unknown,yes
50,management,divorced,tertiary,no,0,no,no,cellular,18,nov,154,1,-1,0,unknown,no
40,admin.,married,secondary,no,5,no,no,cellular,2,feb,174,1,-1,0,unknown,no
75,retired,divorced,tertiary,no,3810,yes,no,cellular,16,nov,262,1,183,1,failure,yes
56,services,divorced,unknown,no,1877,yes,no,unknown,30,may,86,1,-1,0,unknown,no
58,retired,divorced,secondary,yes,-397,no,yes,cellular,14,aug,386,1,-1,0,unknown,no
25,admin.,single,tertiary,no,1420,no,no,cellular,8,apr,124,2,-1,0,unknown,no
32,admin.,single,secondary,no,375,yes,no,cellular,19,nov,143,3,-1,0,unknown,no
45,technician,married,secondary,no,2269,yes,no,cellular,18,nov,233,1,-1,0,unknown,no
34,technician,single,tertiary,no,2481,no,no,cellular,23,aug,220,16,192,14,other,no
54,management,married,tertiary,yes,-248,yes,yes,unknown,7,may,112,1,-1,0,unknown,no
53,blue-collar,married,unknown,no,2785,yes,no,unknown,15,may,1165,1,-1,0,unknown,no
51,management,married,tertiary,no,2125,no,yes,cellular,7,aug,20,2,-1,0,unknown,no
36,technician,divorced,secondary,no,433,no,no,cellular,22,aug,173,3,-1,0,unknown,no
44,self-employed,divorced,tertiary,no,2938,no,no,cellular,6,feb,107,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,218,yes,no,cellular,4,may,619,6,-1,0,unknown,yes
42,admin.,divorced,secondary,no,256,no,no,cellular,8,may,322,1,323,1,failure,no
39,blue-collar,married,secondary,no,23,yes,no,unknown,12,may,22,5,-1,0,unknown,no
34,admin.,married,secondary,no,1049,yes,no,unknown,23,may,25,14,-1,0,unknown,no
52,housemaid,married,primary,no,1340,no,no,unknown,5,jun,175,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,503,yes,yes,unknown,9,may,57,2,-1,0,unknown,no
58,management,married,tertiary,no,-565,yes,yes,cellular,17,nov,191,2,-1,0,unknown,no
30,management,single,tertiary,no,2123,no,no,cellular,11,aug,217,2,-1,0,unknown,no
35,housemaid,divorced,secondary,no,39,no,no,cellular,31,jul,149,2,-1,0,unknown,no
30,admin.,married,secondary,no,401,no,no,cellular,19,nov,50,1,-1,0,unknown,no
30,management,married,tertiary,no,1825,yes,no,unknown,9,may,164,1,-1,0,unknown,no
60,blue-collar,married,primary,no,3820,no,no,unknown,15,may,186,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,3547,no,no,cellular,20,aug,395,6,-1,0,unknown,no
43,management,single,tertiary,no,2081,no,no,cellular,22,oct,554,3,-1,0,unknown,yes
31,management,single,tertiary,no,2978,yes,no,cellular,8,aug,146,2,-1,0,unknown,no
44,management,married,tertiary,no,6945,no,no,cellular,14,aug,114,3,-1,0,unknown,no
36,technician,married,secondary,no,196,yes,no,cellular,20,aug,687,2,-1,0,unknown,no
57,technician,married,tertiary,no,27069,no,yes,unknown,20,jun,174,3,-1,0,unknown,no
58,retired,married,primary,no,69,no,no,cellular,29,aug,76,8,-1,0,unknown,no
76,retired,married,unknown,no,992,no,no,cellular,27,oct,139,2,-1,0,unknown,no
35,blue-collar,divorced,secondary,no,0,yes,no,cellular,13,may,404,2,-1,0,unknown,no
27,unemployed,married,secondary,no,1167,no,no,cellular,29,jan,394,1,-1,0,unknown,no
52,management,married,tertiary,no,601,yes,no,unknown,14,may,249,2,-1,0,unknown,no
50,services,married,tertiary,no,218,yes,no,unknown,9,may,388,2,-1,0,unknown,no
53,technician,divorced,secondary,no,320,no,no,cellular,9,jul,175,1,-1,0,unknown,no
51,management,married,tertiary,no,938,no,no,cellular,11,nov,98,2,97,3,failure,no
50,management,married,tertiary,no,776,yes,yes,cellular,21,jul,200,2,-1,0,unknown,no
31,admin.,married,secondary,no,122,yes,no,cellular,15,may,49,1,364,1,failure,no
46,services,married,unknown,no,80,yes,no,unknown,6,may,245,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,545,yes,no,cellular,21,nov,144,1,-1,0,unknown,no
33,technician,single,tertiary,no,8874,no,yes,unknown,21,may,152,3,-1,0,unknown,no
50,entrepreneur,married,tertiary,no,52,no,no,cellular,31,jul,22,8,-1,0,unknown,no
41,admin.,married,secondary,no,14968,no,no,cellular,23,jul,1360,4,-1,0,unknown,yes
25,student,married,tertiary,no,4923,yes,yes,cellular,19,feb,266,2,219,12,other,no
58,admin.,married,secondary,no,1813,yes,no,telephone,17,jul,15,1,-1,0,unknown,no
32,services,single,secondary,no,2881,no,no,cellular,2,jul,356,1,-1,0,unknown,yes
30,admin.,single,secondary,no,81,yes,no,cellular,6,aug,121,6,112,3,other,no
39,management,married,secondary,no,763,no,no,cellular,19,nov,360,1,153,2,other,no
58,management,divorced,tertiary,no,108,no,no,cellular,12,aug,231,4,-1,0,unknown,no
46,technician,married,unknown,no,312,no,no,cellular,27,aug,129,4,-1,0,unknown,no
49,blue-collar,married,primary,no,1536,yes,no,unknown,19,may,400,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,25,no,no,cellular,22,aug,528,2,-1,0,unknown,yes
42,services,married,secondary,no,1152,yes,no,cellular,29,jan,168,1,-1,0,unknown,no
50,blue-collar,married,primary,no,65,yes,no,telephone,12,may,11,1,-1,0,unknown,no
47,technician,married,tertiary,yes,-813,yes,yes,cellular,21,nov,85,2,158,25,failure,no
49,management,married,primary,no,267,yes,no,unknown,16,may,198,5,-1,0,unknown,no
42,unknown,single,unknown,no,942,no,no,cellular,27,jan,245,1,92,2,success,yes
